entidad,nit_entidad,departamento_entidad,ciudad_entidad,ordenentidad,codigo_pci,id_del_proceso,referencia_del_proceso,ppi,id_del_portafolio,nombre_del_procedimiento,descripci_n_del_procedimiento,fase,fecha_de_publicacion_del,fecha_de_ultima_publicaci,fecha_de_publicacion_fase_3,precio_base,modalidad_de_contratacion,justificaci_n_modalidad_de,duracion,unidad_de_duracion,ciudad_de_la_unidad_de,nombre_de_la_unidad_de,proveedores_invitados,proveedores_con_invitacion,visualizaciones_del,proveedores_que_manifestaron,respuestas_al_procedimiento,respuestas_externas,conteo_de_respuestas_a_ofertas,proveedores_unicos_con,numero_de_lotes,estado_del_procedimiento,id_estado_del_procedimiento,adjudicado,id_adjudicacion,codigoproveedor,departamento_proveedor,ciudad_proveedor,valor_total_adjudicacion,nombre_del_adjudicador,nombre_del_proveedor,nit_del_proveedor_adjudicado,codigo_principal_de_categoria,estado_de_apertura_del_proceso,tipo_de_contrato,subtipo_de_contrato,categorias_adicionales,urlproceso,codigo_entidad,estado_resumen,fecha_de_recepcion_de,fecha_de_apertura_de_respuesta,fecha_de_publicacion_fase_2,fecha_de_apertura_efectiva,fecha_adjudicacion,fecha_de_publicacion
UNIVERSIDAD NACIONAL DE COLOMBIA,899999063,Distrito Capital de Bogotá,No Definido,Nacional,Centralizada,CO1.REQ.3503797,OPS 249-2019-2022,700698038,CO1.BDOS.3413374,DESARROLLAR ACTIVIDADES ASISTENCIALES SEGÚN DELEGACIÓN; ATENDIENDO LOS REQUERIMIENTOS FORMULADOS POR LA SECRETARÍA DE EDUCACIÓN DE LA GOBERNACIÓN DE CUNDINAMARCA; EN DESARROLLO; CIERRE Y LIQUIDACIÓN D,"DESARROLLAR ACTIVIDADES ASISTENCIALES SEGÚN DELEGACIÓN, ATENDIENDO LOS REQUERIMIENTOS FORMULADOS POR LA SECRETARÍA DE EDUCACIÓN DE LA GOBERNACIÓN DE CUNDINAMARCA, EN DESARROLLO, CIERRE Y
LIQUIDACIÓN DEL PROYECTO DE INTERVENTORÍA EFECTUADO A LOS CONTRATOS CELEBRADOS PARA LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR DEL PAE, CONTRIBUYENDO CON EL CUMPLIMIENTO DEL
CONTRATO VINCULANTE.",Presentación de oferta,2022-10-19T00:00:00.000,2022-10-19T00:00:00.000,2022-10-19T00:00:00.000,13583333,Contratación régimen especial,Decreto 092 de 2017,156,día(s),Bogotá,Bogotá Fac. Medicina,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111620,Abierto,Decreto 092 de 2017,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3418386'},700698038,Presentación de oferta,,,,,,
HOSPITAL FRANCISCO DE PAULA SANTANDER EMPRESA SOCIAL DEL ESTADO,891500084,Cauca,Santander De Quilichao,Territorial,Centralizada,CO1.REQ.8141634,2024-AD-818,704096098,CO1.BDOS.6854289,PRESTACIÓN DE SERVICIOS PROFESIONALES COMO MEDICINA ESPECIALIZADA EN OTORRINOLARINGOLOGÍA.,PRESTACIÓN DE SERVICIOS PROFESIONALES COMO MEDICINA ESPECIALIZADA EN OTORRINOLARINGOLOGÍA.,Presentación de oferta,2025-04-25T00:00:00.000,2025-04-25T00:00:00.000,2025-04-25T00:00:00.000,7000000,Contratación régimen especial,Decreto 092 de 2017,31,día(s),No Aplica,JURIDICO,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111620,Abierto,Decreto 092 de 2017,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8041799'},704096098,Presentación de oferta,,,,,,
ESENTTIA S.A.,800059470,Bolívar,Cartagena,Nacional,Centralizada,CO1.REQ.7183019,4500132846,719761322,CO1.BDOS.7048414,Suministro de Empaques Flexitalic,Suministro de Empaques Flexitalic,Presentación de oferta,2024-11-16T00:00:00.000,2024-11-16T00:00:00.000,2024-11-16T00:00:00.000,2698938,Contratación régimen especial,Regla aplicable,0,día(s),Cartagena,Gerencia de Compras y Almacén,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.31401500,Abierto,Suministros,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7062213'},719761322,Presentación de oferta,,,,,,
MUNICIPIO DE ANZA,890983824,Antioquia,Anza,Territorial,Centralizada,CO1.REQ.10727412,CPS-150-2026,702558792,CO1.BDOS.10544301,PRESTACIÓN DE SERVICIOS,CONTRATO DE PRESTACIÓN DE SERVICIOS DE TRANSPORTE TERRESTRE.,Presentación de oferta,2026-07-25T00:00:00.000,2026-07-25T00:00:00.000,2026-07-25T00:00:00.000,2000000,Contratación directa,Servicios profesionales y apoyo a la gestión,8,día(s),Anza,ALCALDÍA ANZÁ,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.78111804,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10581444'},702558792,Presentación de oferta,,,,,,
E.S.E. HOSPITAL SAN ANTONIO,845000038,Vaupés,Mitú,Territorial,Centralizada,CO1.REQ.6924426,1239 DE 2024,704000363,CO1.BDOS.6795205,HSAM-1239-ISLENY MARLENY REINA YEPES,"PRESTACION DE SERVICIOS DE APOYO A LA GESTION COMO TECNICO ADMINISTRATIVO PARA LA INICIATIVA MEJORA DE LA SALUD DE LAS COMUNIDADES, MUJERES Y NIÑOS A TRAVES DE LA ELIMINACION DEL TRACOMA COMO PROBLEMA DE SALUD PUBLICA EN EL DEPARTAMENTO DEL VAUPES DE LA CARTA ACUERDO SCON2024-00271 ENTRE EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO Y LA ORGANIZACION PANAMERICANADE LA SALUD",Presentación de oferta,2024-09-29T00:00:00.000,2024-09-29T00:00:00.000,2024-09-29T00:00:00.000,12598583,Contratación régimen especial,Decreto 092 de 2017,97,día(s),Mitú,OFICINA DE GESTION JURIDICA Y CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Decreto 092 de 2017,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6805207'},704000363,Presentación de oferta,,,,,,
SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE SEGURIDAD Y JUSTICIA,890399011,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.7121082,4161.010.32.1.1953.2024,703282152,CO1.BDOS.6988495,prestación de servicios de apoyo,Prestación de Servicios de Apoyo a la Gestión en la Secretaría de Seguridad y Justicia,Presentación de oferta,2024-11-05T00:00:00.000,2024-11-05T00:00:00.000,2024-11-05T00:00:00.000,4196000,Contratación directa,Servicios profesionales y apoyo a la gestión,67,día(s),Cali,Secretaría de Seguridad y Justicia,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111501,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7000534'},703282152,Presentación de oferta,,,,,,
SENA REGIONAL NARIÑO CENTRO SUR COLOMBIANO DE LOGISTICA INTERNACIONAL,899999034,Nariño,Ipiales,Nacional,Centralizada,CO1.REQ.8116123,MC-NRÑ-BS-9534-03-2025,704153931,CO1.BDOS.7974357,MATERIALES DE FORMACION ACCIONES REGULARES 1 Y 2 OFERTA,"COMPRA DE MATERIALES DE FORMACIÓN PARA DESARROLLAR PROCESOS FORMATIVOS EN EL PROGRAMA DE ACCIONES REGULARES, EN LAS ÁREAS DE SISTEMAS, SALUD, CONTABLE, COMERCIAL, CONFECCIONES, TALENTO HUMANO, ADMINISTRATIVA; DE LA PRIMERA Y SEGUNDA OFERTA 2025 DEL CENTRO SUR COLOMBIANO DE LOGÍSTICA INTERNACIONAL DEL SENA REGIONAL NARIÑO.",Presentación de oferta,2025-04-21T00:00:00.000,2025-04-21T00:00:00.000,2025-04-21T00:00:00.000,91236150,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,10,día(s),Ipiales,OFICINA DE GESTION CONTRACTUAL,0,0,26,0,12,0,0,12,4,Seleccionado,70,Si,CO1.AWD.2234226,703141648,Valle del Cauca,No Definido,12191920,STEFANNY CAROLINA MANTILLA BRAVO,ALMACENES RÓMULO MONTES SAS,800198467,V1.60105302,Cerrado,Compraventa,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8017948'},704153931,Adjudicado,2025-04-23T00:00:00.000,2025-04-23T00:00:00.000,,2025-04-23T00:00:00.000,2025-04-29T00:00:00.000,
INSTITUCION EDUCATIVA ARNULFO BRICEÑO CONTRERAS,822001923,Meta,Villavicencio,Territorial,Centralizada,CO1.REQ.8495861,012-2025,718149305,CO1.BDOS.8345651,MANTENIMIENTO ADECUACION CIELO RASO DE BODEGA Y SEDE SAN ANTONIO,MANTENIMIENTO ADECUACION CIELO RASO DE BODEGA Y SEDE SAN ANTONIO,Presentación de oferta,2025-07-02T00:00:00.000,2025-07-02T00:00:00.000,2025-07-02T00:00:00.000,19978500,Contratación régimen especial,Regla aplicable,15,día(s),No Aplica,HENRY ALBERTO SANTIAGO PARDO,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.72101517,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8367758'},718149305,Presentación de oferta,,,,,,
MINVIVIENDA,900463725,No Definido,No Definido,Nacional,Centralizada,CO1.REQ.5558109,MVCT-0348-2024,700262025,CO1.BDOS.5440735,OSCAR JOSÉ CORTÉS RIVERO,"SERVICIOS DE CONSULTORÍA PARA APOYAR AL MINISTERIO
DE VIVIENDA, CIUDAD Y TERRITORIO, EN LAS ACTIVIDADES DE COORDINACIÓN
GENERAL DE PROYECTOS EN DESARROLLO DEL  PROGRAMA DE AGUA POTABLE Y
SANEAMIENTO BÁSICO DEL DEPARTAMENTO DE LA GUAJIRA  FINANCIADO CON
RECURSOS DEL CONTRATO DE PRÉSTAMO NO. PRÉSTAMO BID 5193/OC-CO Y LOS
CONVENIOS 5189/GR-CO Y GRT/CF-18453-CO",Presentación de oferta,2024-01-17T00:00:00.000,2024-01-17T00:00:00.000,2024-01-17T00:00:00.000,224400000,Contratación directa,Servicios profesionales y apoyo a la gestión,12,Mes(es),Bogotá,SUBDIRECCION DE SERVICIOS ADMINISTRATIVOS - GRUPO CONTRATOS,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.81101516,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5451110'},700262025,Presentación de oferta,,,,,,
EMPRESA SOCIAL DEL ESTADO HOSPITAL REGIONAL OCCIDENTE,807008843,No Definido,No Definido,Territorial,Centralizada,CO1.REQ.8568149,146-2025,705003580,CO1.BDOS.8416548,CONTRATO 146,PRESTAR LOS SERVICIOS PROFESIONALES COMO PSICÓLOGO PARA LOS EQUIPOS BÁSICO DE SALUD RESOLUCIÓN 1499 DE 2024 DE LA ESE HOSPITAL REGIONAL OCCIDENTE-CACHIRA,Presentación de oferta,2025-07-15T00:00:00.000,2025-07-15T00:00:00.000,2025-07-15T00:00:00.000,10000000,Contratación régimen especial,Regla aplicable,2,Mes(es),Cachirá,CONTRATOS DE PRESTACION DE SERVICIOS,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.85101600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8438448'},705003580,Presentación de oferta,,,,,,
PARQUES NACIONALES NATURALES DE COLOMBIA - DIRECCION TERRITORIAL CARIBE,819000759,Bolívar,Cartagena,Territorial,Centralizada,CO1.REQ.6272804,IPMC-DTCA-031-2024,701252041,CO1.BDOS.6150742,MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE MOTORES DE LA EMBARCACIÓN ASIGNADA AL PNN CORALES DE PROFUNDIDAD,"MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE MOTORES DE LA EMBARCACIÓN ASIGNADA AL PNN CORALES DE PROFUNDIDAD QUE INCLUYA ACCESORIOS, CUBIERTA Y CAMBIO DE REPUESTOS DE SER NECESARIOS, DE ACUERDO CON LAS ESPECIFICACIONES DE LOS ESTUDIOS PREVIOS.",Presentación de oferta,2024-05-21T00:00:00.000,2024-05-21T00:00:00.000,2024-05-21T00:00:00.000,40000000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,205,día(s),Cartagena,PNN CORALES DE PROFUNDIDAD,0,0,10,0,3,0,0,3,0,Abierto,70,Si,CO1.AWD.1939760,701594558,Distrito Capital de Bogotá,No Definido,40000000,Sara Raquel Castillo De La Rosa,EDUARDOÑO S.A.S.,8909000825,V1.78181500,Cerrado,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6159254'},701252041,Adjudicado,2024-05-24T00:00:00.000,2024-05-24T00:00:00.000,,2024-05-24T00:00:00.000,,
EMPRESA SOCIAL DEL ESTADO HOSPITAL CUMBAL,814001329,Nariño,Cumbal,Territorial,Centralizada,CO1.REQ.8864761,344-2025,718375066,CO1.BDOS.8707125,CONTRATO DE PRESTACIÓN DE SERVICIOS PROFESIONALES EN ACTIVIDADES DE PSICOLOGIA PARA  EQUIPOS BASICOS DE SALUD DE TERRITORIOS SALUDABLES - RESOLUCIÓN 1976  DE LA E.S.E HOSPITAL CUMBAL,CONTRATO DE PRESTACIÓN DE SERVICIOS PROFESIONALES EN ACTIVIDADES DE PSICOLOGIA PARA  EQUIPOS BASICOS DE SALUD DE TERRITORIOS SALUDABLES - RESOLUCIÓN 1976  DE LA E.S.E HOSPITAL CUMBAL,Presentación de oferta,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,2025-09-09T00:00:00.000,7200000,Contratación régimen especial,Regla aplicable,60,día(s),Cumbal,Almacen y Logistica,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8745152'},718375066,Presentación de oferta,,,,,,
EMPRESA SOCIAL DEL ESTADO SALUD YOPAL,844003225,Casanare,No Definido,Territorial,Centralizada,CO1.REQ.7479876,122-2025,703973412,CO1.BDOS.7344332,MARIA TATIANA NOVOA SILVA,PRESTAR SERVICIO PROFESIONAL COMO ODONTOLGO (a) EN LOS DIFERENTES CAPS DE LA EMPRESA SOCIAL DEL ESTADO SALUD YOPAL E.S.E.,Presentación de oferta,2025-01-16T00:00:00.000,2025-01-16T00:00:00.000,2025-01-16T00:00:00.000,33297264,Contratación régimen especial,Regla aplicable,229,día(s),Yopal,REGIMEN ESPECIAL,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.85101600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7359175'},703973412,Presentación de oferta,,,,,,
UPTC,891800330,Boyacá,Tunja,Nacional,Descentralizada,CO1.REQ.4504841,OS 144-2023-UPTC,703964197,CO1.BDOS.4403910,SERVICIO DE PLEGABLES IMPRESOS A COLOR EN PROPALCOTE,"SERVICIO DE PLEGABLES IMPRESOS A COLOR EN PROPALCOTE CON DESTINO AL
DEPARTAMENTO DE POSGRADOS",Fase de ofertas,2023-05-11T00:00:00.000,2023-05-11T00:00:00.000,2023-05-11T00:00:00.000,2495000,Contratación régimen especial,Decreto 092 de 2017,8,día(s),Tunja,VICERECTORIA ADMINISTRATIVA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.55101500,Abierto,Decreto 092 de 2017,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4405924'},703964197,Fase de ofertas,,,,,,
SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E. (OFICIAL),900971006,Distrito Capital de Bogotá,No Definido,Territorial,Centralizada,CO1.REQ.2744349,CPS-2022-2022,702729500,CO1.BDOS.2669032,PRESTAR SERVICIOS PROFESIONALES Y APOYO A LA GESTION,AUXILIAR DE ENFERMERIA,Presentación de oferta,2022-01-22T00:00:00.000,2022-01-22T00:00:00.000,2022-01-22T00:00:00.000,5243526,Contratación régimen especial,Decreto 092 de 2017,88,día(s),Bogotá,DIRECCIÓN DE CONTRATACIÓN - COMPRAS,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.85101600,Abierto,Decreto 092 de 2017,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2669781'},702729500,Presentación de oferta,,,,,,
GOBERNACION DEL VALLE DEL CAUCA - DADI,8903990295,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.4101337,DADI-DPS-0435-2023,702376260,CO1.BDOS.4005638,PRESTACION DE SERVICIOS,"PRESTACIÓN DE SERVICIOS PROFESIONALES COMO ABOGADO ESPECIALIZADO EN DEL DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO INSTITUCIONAL, DENTRO DEL PROYECTO DE FORTALECIMIENTO INSTITUCIONAL PARA UNA GESTIÓN PUBLICA DE RESULTADOS EN LA GOBERNACION DEL VALLE DEL CAUCA",Presentación de oferta,2023-02-15T00:00:00.000,2023-02-15T00:00:00.000,2023-02-15T00:00:00.000,36300000,Contratación directa,Servicios profesionales y apoyo a la gestión,6,Mes(es),Cali,DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO INSTITUCIONAL,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4015242'},702376260,Presentación de oferta,,,,,,
SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DEL DEPORTE Y LA RECREACIÓN,890399011,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.4157166,4162.010.32.1.0291-2023,702440603,CO1.BDOS.4060852,APOYO A LA GESTION,"PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION PARA REALIZAR ACTIVIDADES AFINES A LOS PROGRAMAS Y PROYECTOS QUE ADELANTA LA SECRETARIA DEL DEPORTE Y LA RECREACIÓN DEL DISTRITO DE SANTIAGO DE CALI, EN ESPECIAL EN LA EJECUCIÓN DEL PROYECTO DENOMINADO RECREACIÓN CON ESTRATEGIAS PARA EL ENVEJECIMIENTO FUNCIONAL SALUDABLE Y ACTIVO EN SANTIAGO DE CALI (FICHA EBI BP-26002940).",Presentación de oferta,2023-02-23T00:00:00.000,2023-02-23T00:00:00.000,2023-02-23T00:00:00.000,24720000,Contratación directa,Servicios profesionales y apoyo a la gestión,68,día(s),Cali,GESTIÓN CONTRACTUAL,0,0,0,0,0,0,0,0,4,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111500,Abierto,Prestación de servicios,No Definido,"V180111600, V180111700",{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4065902'},702440603,Presentación de oferta,,,,,,
CAMARA DE REPRESENTANTES,899999098,Distrito Capital de Bogotá,No Definido,Nacional,Centralizada,CO1.REQ.3655124,CPS_2811_2022,701337164,CO1.BDOS.3561151,CPS_2811_2022,"SERVICIOS PROFESIONALES A LA COMISION DE INVESTIGACION Y ACUSACIONES DE LA CAMARA DE REPRESENTANTES, EN LA PROYECCION DE RESPUESTAS, A LAS PRQS, TUTELAS, Y DEMAS REQUERIMIENTOS SOLICITADOS POR LAS DIFERENTES INSTANCIAS JUDICIALES, Y REVISION DE AUTOS DE SUSTANCIACION E INTERLOCUTORIOS PROFERIDOS POR LOS REPRESENTANTES INVESTIGADORES",Presentación de oferta,2022-11-24T00:00:00.000,2022-11-24T00:00:00.000,2022-11-24T00:00:00.000,10000000,Contratación directa,Servicios profesionales y apoyo a la gestión,1,Mes(es),No Aplica,CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3566771'},701337164,Presentación de oferta,,,,,,
SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.**,900958564,Distrito Capital de Bogotá,Bogotá,Territorial,Centralizada,CO1.REQ.4360689,5417-2023,702730482,CO1.BDOS.4261821,OVIEDO PERDOMO DIEGO FERNANDO,PRESTAR SERVICIOS COMO PROFESIONAL ESPECIALIZADO DE APOYO A LA GESTION EN EL MARCO DEL CONVENIO VIGENTE SUSCRITO ENTRE EL FONDO FINANCIERO DISTRITAL DE SALUD Y LA SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.,Presentación de oferta,2023-04-04T00:00:00.000,2023-04-04T00:00:00.000,2023-04-04T00:00:00.000,10456212,Contratación régimen especial,Regla aplicable,57,día(s),Bogotá,DIRECCIÓN  DE CONTRATACIÓN,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4264560'},702730482,Presentación de oferta,,,,,,
HOSPITAL SAN JOSE DE ORTEGA EMPRESA SOCIAL DEL ESTADO NIVEL 1,890700967,Tolima,Ortega,Territorial,Centralizada,CO1.REQ.8749152,CD HSJ 197-2025,706572815,CO1.BDOS.8594120,CONTRATO DE PRESTACION DE SERVICIOS,CONTRATAR LA PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN DE UN AUXILIAR DE ENFERMERÍA PARA AMPLIACIÓN DE LOS EQUIPOS BÁSICOS EN SALUD DEL AREA URBANA DEL HOSPITAL SAN JOSE DE ORTEGA E.S.E.,Presentación de oferta,2025-08-15T00:00:00.000,2025-08-15T00:00:00.000,2025-08-15T00:00:00.000,10000000,Contratación régimen especial,Decreto 092 de 2017,4,Mes(es),Ortega,CONTRATACION HOSPITAL SAN JOSE,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.85101601,Abierto,Decreto 092 de 2017,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8617199'},706572815,Presentación de oferta,,,,,,
Instituto Departamental de Recreación y Deporte INDERSANTANDER SITIO OFICIAL,804004370,Santander,Bucaramanga,Territorial,Descentralizada,CO1.REQ.4198065,CPS-085-2023,706709458,CO1.BDOS.4101485,APOYO A LA GESTION EN LA LIMPIEZA GENERAL DE LOS ESCENARIOS DE LA UNIDAD DEPORTIVA ALFONSO DE BUCARAMANGA,"APOYO A LA GESTION EN LA LIMPIEZA GENERAL DE LOS ESCENARIOS DE LA UNIDAD DEPORTIVA ALFONSO
DE BUCARAMANGA",Presentación de oferta,2023-03-01T00:00:00.000,2023-03-01T00:00:00.000,2023-03-01T00:00:00.000,16000000,Contratación directa,Servicios profesionales y apoyo a la gestión,8,Mes(es),Bucaramanga,JURIDICA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4103095'},706709458,Presentación de oferta,,,,,,
RED DE SALUD DE LADERA EMPRESA SOCIAL DEL ESTADO,805027289,Valle del Cauca,Cali,Territorial,Descentralizada,CO1.REQ.5124298,00-2023-JCON--296,704483148,CO1.BDOS.5012914,ARCE JARAMILLO KAREN,"PRESTAR EL SERVICIO CLINICO  ASISTENCIAL EN EL AREA DE ODONTOLOGIA COMO ESPECIALISTA EN ORTODONCIA, PARA LA VIGENCIA DE LOS MESES DE OCTUBRE A DICIEMBRE DE 2023  EN LA IPS PRIMERO DE MAYO Y MELEDEZ",Presentación de oferta,2023-10-03T00:00:00.000,2023-10-03T00:00:00.000,2023-10-03T00:00:00.000,7500000,Contratación régimen especial,Regla aplicable,3,Mes(es),Cali,PUBLICACIÓN DE CONTRATOS Y COMPRAS ESE LADERA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.85122005,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5022918'},704483148,Presentación de oferta,,,,,,
ALCALDIA MUNICIPIO DE ARAUCA,800102504,Arauca,Arauca,Territorial,Centralizada,CO1.REQ.10711037,CD-362-2026,700586134,CO1.BDOS.10527513,PRESTACION DE SERVICIOS PROFESIONALES COMO INGENIERO CIVIL PARA LA ASISTENCIA TECNICA A LOS PROYECTOS DE VIVIENDA EN EJECUCIÓN EN EL MUNICIPIO DE ARAUCA DEPARTAMENTO DE ARAUCA,PRESTACION DE SERVICIOS PROFESIONALES COMO INGENIERO CIVIL PARA LA ASISTENCIA TECNICA A LOS PROYECTOS DE VIVIENDA EN EJECUCIÓN EN EL MUNICIPIO DE ARAUCA DEPARTAMENTO DE ARAUCA,Presentación de oferta,2026-07-23T00:00:00.000,2026-07-23T00:00:00.000,2026-07-23T00:00:00.000,20000000,Contratación directa,Servicios profesionales y apoyo a la gestión,5,Mes(es),No Aplica,UNIDAD DE CONTRATACION ARAUCA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10566913'},700586134,Presentación de oferta,,,,,,
