entidad,nit_entidad,departamento_entidad,ciudad_entidad,ordenentidad,codigo_pci,id_del_proceso,referencia_del_proceso,ppi,id_del_portafolio,nombre_del_procedimiento,descripci_n_del_procedimiento,fase,fecha_de_publicacion_del,fecha_de_ultima_publicaci,fecha_de_publicacion_fase_3,precio_base,modalidad_de_contratacion,justificaci_n_modalidad_de,duracion,unidad_de_duracion,ciudad_de_la_unidad_de,nombre_de_la_unidad_de,proveedores_invitados,proveedores_con_invitacion,visualizaciones_del,proveedores_que_manifestaron,respuestas_al_procedimiento,respuestas_externas,conteo_de_respuestas_a_ofertas,proveedores_unicos_con,numero_de_lotes,estado_del_procedimiento,id_estado_del_procedimiento,adjudicado,id_adjudicacion,codigoproveedor,departamento_proveedor,ciudad_proveedor,valor_total_adjudicacion,nombre_del_adjudicador,nombre_del_proveedor,nit_del_proveedor_adjudicado,codigo_principal_de_categoria,estado_de_apertura_del_proceso,tipo_de_contrato,subtipo_de_contrato,categorias_adicionales,urlproceso,codigo_entidad,estado_resumen,fecha_de_recepcion_de,fecha_de_apertura_de_respuesta,fecha_de_publicacion_fase_2,fecha_de_apertura_efectiva,fecha_adjudicacion,fecha_de_publicacion
ALCALDIA LOCAL DE SUMAPAZ,899999061,Distrito Capital de Bogotá,Bogotá,Territorial,Centralizada,CO1.REQ.848621,FDLS-LP-098-2019,702096124,CO1.BDOS.823726,CONSERVACION PUENTES,REALIZAR POR EL SISTEMA DE PRECIOS UNITARIOS FIJOS SIN FORMULA DE REAJUSTE: LA CONSERVACIÓN DE PUENTES SOBRE CORRIENTES DE AGUA EN LA LOCALIDAD DE SUMAPAZ,Presentación de observaciones,2019-04-29T00:00:00.000,2019-04-29T00:00:00.000,,600000000,Licitación pública Obra Publica,No Defenido,5,Mes(es),Bogotá,AREA DE CONTRATACION,0,0,122,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.81101500,Cerrado,Obra,No Definido,"V172101500, V172103300, V172141000, V195111600",{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.814841'},702096124,Presentación de observaciones,2019-05-31T00:00:00.000,2019-05-31T00:00:00.000,2019-04-29T00:00:00.000,2019-06-18T00:00:00.000,,
FONDO NACIONAL DE VIVIENDA,830121208,No Definido,No Definido,Nacional,Centralizada,CO1.REQ.1892979,FNV-001-2021,700740038,CO1.BDOS.1840301,CONTRATO INTERADMINISTRATIVO,"Realizar la publicación en el diario oficial de los actos administrativos y demás documentos expedidos por el Fondo Nacional de Vivienda FONVIVIENDA-, que deban ser publicados en dicho medio.",Presentación de oferta,2021-03-11T00:00:00.000,2021-03-11T00:00:00.000,2021-03-11T00:00:00.000,448000000,Contratación directa,Contratos o convenios Interadministrativos (valor cero),10,Mes(es),Bogotá,FONDO NACIONAL DE VIVIENDA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.93151611,Abierto,Otro,No Definido,V155101519,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1837392'},700740038,Presentación de oferta,,,,,,
INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.976985,LP-DT-CAU-003-2019_3 (Fase de Selección (Presentación de ofertas)),700676059,CO1.BDOS.927424,MANTENIMIENTO RUTINARIO; DE VIAS A CARGO DEL INSTITUTO NACIONAL DE VIAS; DIRECCIÓN TERRITORIAL CAUCA PROCESO DE LICITACION PÚBLICA (PRODUCTO VIA PRIMARIA MANTENIDA) (Fase de Selección (Presentación de,"MANTENIMIENTO RUTINARIO, DE VIAS A CARGO DEL INSTITUTO NACIONAL DE VIAS, DIRECCIÓN TERRITORIAL CAUCA PROCESO DE LICITACION PÚBLICA (PRODUCTO VIA PRIMARIA MANTENIDA)",Fase de Selección (Presentación de ofertas),2019-09-30T00:00:00.000,2019-09-30T00:00:00.000,2019-09-30T00:00:00.000,53520784298,Licitación pública Obra Publica,No Defenido,33,Mes(es),Cali,Dirección Territorial Cauca,0,0,107,0,51,0,0,51,38,Seleccionado,70,Si,CO1.AWD.616637,704527936,Cauca,Bolívar,1217527123,JORGE ALONSO ORTEGA ROJAS,COOPERATIVA DE TRABAJO ASOCIADO SIGLO XXI,817002635,V1.72141000,Cerrado,Obra,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.943665'},700676059,Adjudicado,2019-10-11T00:00:00.000,2019-11-26T00:00:00.000,,2019-11-26T00:00:00.000,2022-07-08T00:00:00.000,
ALCALDIA DE FLORIDABLANCA,890205176,Santander,Floridablanca,Territorial,Centralizada,CO1.REQ.9500237,FLO-INFRA-SA-MC-007-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),704323831,CO1.BDOS.9282110,ADECUACION Y MANTENIMIENTO DE ALGUNAS INSTALACIONES DEL PALACIO MUNICIPAL DEL MUNICIPIO DE FLORIDABLANCA; SANTANDER (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),"ADECUACION Y MANTENIMIENTO DE ALGUNAS INSTALACIONES DEL PALACIO MUNICIPAL DEL MUNICIPIO DE FLORIDABLANCA, SANTANDER",Presentación de oferta,2025-12-30T00:00:00.000,2025-12-30T00:00:00.000,2025-12-30T00:00:00.000,305813941,Selección Abreviada de Menor Cuantía,Presupuesto menor al 10% de la Menor Cuantía,2,Mes(es),Floridablanca,ALCALDÍA DE FLORIDABLANCA,10,10,104,0,3,0,0,3,0,Seleccionado,70,Si,CO1.AWD.2488428,716178215,Santander,Bucaramanga,305644297,YUDY GONZALEZ BARBOSA,CONSTRUOBRAS ISAVAL S.A.S,No Definido,UNSPECIFIED,Cerrado,Obra,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9352056'},704323831,Adjudicado,2025-12-31T00:00:00.000,2025-12-31T00:00:00.000,,2026-01-06T00:00:00.000,2026-01-27T00:00:00.000,
INSTITUTO DE DEPORTES Y RECREACION DE MEDELLIN,800194096,Antioquia,Medellín,Territorial,Centralizada,CO1.REQ.4389286,SA-004-2023,700774011,CO1.BDOS.4289726,SUMINISTRO DE EQUIPOS; HERRAMIENTAS Y ELEMENTOS PARA EL MANTENIMIENTO; OPERACIÓN Y SEGURIDAD DE LAS PISCINAS Y ESTRUCTURAS SIMILARES ADMINISTRADAS POR EL INDER MEDELLÍN,"SUMINISTRO DE EQUIPOS, HERRAMIENTAS Y ELEMENTOS PARA EL MANTENIMIENTO, OPERACIÓN Y SEGURIDAD DE LAS PISCINAS Y ESTRUCTURAS SIMILARES ADMINISTRADAS POR EL INDER MEDELLÍN",Presentación de observaciones,2023-04-13T00:00:00.000,2023-04-13T00:00:00.000,,270101513,Selección abreviada subasta inversa,Suministro de bienes y servicios de características técnicas uniformes y común utilización,0,día(s),Medellín,SUBDIRECCION DE ESCENARIOS DEPORTIVOS,0,0,22,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.42192600,Cerrado,Suministros,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4293527'},700774011,Presentación de observaciones,2023-05-16T00:00:00.000,2023-05-16T00:00:00.000,2023-04-13T00:00:00.000,2023-05-30T00:00:00.000,,
GOBERNACION DEL CHOCÓ.,891680010,No Definido,No Definido,Territorial,Descentralizada,CO1.REQ.6085225,CD-PS-GDCH-186SS-2024,710188293,CO1.BDOS.5966426,PRESTACION DE SERVICIOS,"PRESTACIÓN DE SERVICIOS PROFESIONALES DE UN
(A) NUTRICIONISTA, QUE SIRVA DE APOYO A LA 
DIMENSION DE SEGURIDAD ALIMENTARIA Y 
NUTRICIONAL DE LA SECRETARIA DE SALUD 
DEPARTAMENTAL DEL CHOCO",Presentación de oferta,2024-04-12T00:00:00.000,2024-04-12T00:00:00.000,2024-04-12T00:00:00.000,24000000,Contratación directa,Servicios profesionales y apoyo a la gestión,8,Mes(es),No Aplica,GOBERNACION- SALUD 2022,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5973718'},710188293,Presentación de oferta,,,,,,
ALCALDIA DE GIRARDOTA,890980807,Antioquia,Girardota,Territorial,Centralizada,CO1.REQ.4114873,5308/SASP01/2023,704694173,CO1.BDOS.4019340,ENAJENACIÓN DIRECTA DE UNA RETROEXCAVADORA; PROPIEDAD DEL MUNICIPIO DE GIRARDOTA,"ENAJENACIÓN DIRECTA DE UNA RETROEXCAVADORA, PROPIEDAD DEL MUNICIPIO DE GIRARDOTA",Presentación de observaciones,2023-02-17T00:00:00.000,2023-02-17T00:00:00.000,,86000000,Enajenación de bienes con subasta,Artículo 99 del Decreto 1510 de 2013,90,día(s),Girardota,CONTRATACIÓN GIRARDOTA,0,0,13,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.22101509,Cerrado,Venta muebles,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4031626'},704694173,Presentación de observaciones,2023-03-09T00:00:00.000,2023-03-22T00:00:00.000,2023-02-17T00:00:00.000,2023-03-22T00:00:00.000,,
COMPRADOR ESE CARMEN EMILIA OSPINA PERFIL,8130052657,Huila,Neiva,Territorial,Centralizada,CO1.REQ.7180132,0511-2024,718026529,CO1.BDOS.7045385,CONTRATAR EL SUMINISTRO DE INSUMOS PARA EL LABORATORIO CLINICO,No definido,Presentación de oferta,2024-11-15T00:00:00.000,2024-11-15T00:00:00.000,2024-11-15T00:00:00.000,320000000,Contratación régimen especial,Regla aplicable,45,día(s),Neiva,OFICINA DE CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.85101500,Abierto,Suministros,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7058869'},718026529,Presentación de oferta,,,,,,
CXAYUCE JXUT ESE,900052148,Cauca,Toribio,Nacional,Centralizada,CO1.REQ.7095796,CSS-297-2024 - JORGE CONSUEGRA OTERO,711844142,CO1.BDOS.6963834,Prestar los servicios Profesionales para realizar actividades de toma de ecografías obstétricas; ecografías transvaginales; ginecológicas; consultas especializadas en CXAYUCE JXUT E.S.E,"Prestar los servicios Profesionales para realizar actividades de toma de ecografías obstétricas, ecografías transvaginales, ginecológicas, consultas especializadas en CXAYUCE JXUT E.S.E",Presentación de oferta,2024-10-30T00:00:00.000,2024-10-30T00:00:00.000,2024-10-30T00:00:00.000,21280000,Contratación régimen especial,Decreto 092 de 2017,71,día(s),Toribio,UNIDAD PAA CXAYU´CE JXUT E.S.E.,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.85121601,Abierto,Decreto 092 de 2017,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6975306'},711844142,Presentación de oferta,,,,,,
INSTITUCION EDUCATIVA LAS COLINAS,900231975,No Definido,No Definido,Territorial,Centralizada,CO1.REQ.10651936,CONTRATO PRESTACIÓN DE SERVICIOS No 009,705329043,CO1.BDOS.10469193,SANDRA MILENA PERNAGORDA VALENCIA,"Prestación de servicios profesionales para la contratación de un contador público, teniendo en cuenta que la Institución Educativa no cuenta con este perfil profesional para brindar acompañamiento y asesoría a los diferentes procesos contables, Presupuestales, y Financieros e informes que maneja la Institución Educativa Las Colinas como lo son: a la Secretaria de Educación Municipal, y a los diferentes entes de control durante los meses de Julio 10 al 02 de Diciembre 2026.",Presentación de oferta,2026-07-14T00:00:00.000,2026-07-14T00:00:00.000,2026-07-14T00:00:00.000,5400000,Contratación régimen especial,Regla aplicable,142,día(s),Armenia,RECTORIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.84111500,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10505980'},705329043,Presentación de oferta,,,,,,
