id_del_proceso,entidad,departamento_entidad,ciudad_entidad,ordenentidad,modalidad_de_contratacion,tipo_de_contrato,codigo_principal_de_categoria,fecha_de_publicacion,fecha_adjudicacion,duracion,unidad_de_duracion,precio_base,valor_total_adjudicacion,adjudicado,estado_del_procedimiento,proveedores_invitados,conteo_de_respuestas_a_ofertas,departamento_proveedor,ciudad_proveedor,nombre_del_proveedor
CO1.REQ.5496747,FONDO UNICO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Distrito Capital de Bogotá,Bogotá,Nacional,Contratación directa,Prestación de servicios,V1.80111600,,,362,día(s),113508000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.9882493,UNIVERSIDAD NACIONAL DE COLOMBIA,Distrito Capital de Bogotá,No Definido,Nacional,Contratación régimen especial,Decreto 092 de 2017,V1.81151700,,,211,día(s),21000000,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.7188948,SECRETARIA DE EDUCACION DE CALI,Valle del Cauca,Cali,Territorial,Contratación directa,Prestación de servicios,V1.80111501,,,2,Mes(es),8876000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.3469058,ALCALDIA MUNICIPIO DE RICAURTE,Cundinamarca,Ricaurte,Territorial,Mínima cuantía,Suministros,V1.78111803,,,2,Mes(es),27985500,0,No,Cancelado,0,0,No Definido,No Definido,No Definido
CO1.REQ.3469058,ALCALDIA MUNICIPIO DE RICAURTE,Cundinamarca,Ricaurte,Territorial,Mínima cuantía,Suministros,V1.78111803,,,2,Mes(es),27985500,0,No,Cancelado,0,0,No Definido,No Definido,No Definido
CO1.REQ.3469058,ALCALDIA MUNICIPIO DE RICAURTE,Cundinamarca,Ricaurte,Territorial,Mínima cuantía,Suministros,V1.78111803,,,2,Mes(es),27985500,0,No,Cancelado,0,0,No Definido,No Definido,No Definido
CO1.REQ.3469058,ALCALDIA MUNICIPIO DE RICAURTE,Cundinamarca,Ricaurte,Territorial,Mínima cuantía,Suministros,V1.78111803,,,2,Mes(es),27985500,0,No,Cancelado,0,0,No Definido,No Definido,No Definido
CO1.REQ.10260358,ALCALDÍA MUNICIPIO DE BELLO,Antioquia,Bello,Territorial,Contratación directa,Otro,V1.72141505,,,111,día(s),1762613382,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.4340766,ALCALDÍA MUNICIPAL DE CANDELARIA VALLE,Valle del Cauca,Candelaria,Territorial,Solicitud de información a los Proveedores,No,V1.47132100,,,6,día(s),0,0,No,Evaluación,1570,0,No Definido,No Definido,No Definido
CO1.REQ.7311900,ESE HOSPITAL EDUARDO SANTOS,No Definido,No Definido,Territorial,Contratación régimen especial,Decreto 092 de 2017,V1.85121613,,,1,Mes(es),12840000,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.10112049,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL DE FACATATIVA,Cundinamarca,Facatativá,Territorial,Contratación régimen especial,Prestación de servicios,V1.85121600,,,0,día(s),12000000,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.1447306,INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES,Distrito Capital de Bogotá,No Definido,Nacional,Selección abreviada subasta inversa,Suministros,V1.41121800,,2020-09-25T00:00:00.000,101,día(s),1521331706,14927913,Si,Seleccionado,0,12,Distrito Capital de Bogotá,No Definido,PURIFICACION Y ANALISIS DE FLUIDOS S.A.S
CO1.REQ.10701124,ESE HOSPITAL DEPARTAMENTAL SAN CAYETANO,Caldas,Marquetalia,Territorial,Contratación régimen especial,Prestación de servicios,V1.85101601,,,83,día(s),9450000,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.6025920,SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E. (OFICIAL),Distrito Capital de Bogotá,No Definido,Territorial,Contratación régimen especial,Prestación de servicios,V1.85101600,,,30,día(s),2632401,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.6644470,EMPRESA DE SERVICIOS PUBLICOS DE AGUSTIN CODAZZI E.S.P,Cesar,Agustín Codazzi,Territorial,Contratación régimen especial,Prestación de servicios,V1.80111600,,,3,Mes(es),4938000,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.979623,MUNICIPIO DE NEIVA,Huila,Neiva,Territorial,Mínima cuantía,Suministros,V1.90111501,,,3,Mes(es),35000000,0,No,Cancelado,0,0,No Definido,No Definido,No Definido
CO1.REQ.4368057,HOSPITAL DEPARTAMENTAL SAN ANTONIO DE VILLAMARIA ESE,Caldas,Villamaría,Territorial,Contratación régimen especial,Decreto 092 de 2017,V1.80111609,,,58,día(s),3600000,0,No,Publicado,0,0,No Definido,No Definido,No Definido
